x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 y
74.8124 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
74.81267 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
74.76179 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
69.88474 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
69.88474 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
68.53933 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
68.53933 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
68.07729 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
67.60957 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
67.60957 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
67.13673 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
66.65931 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
66.17775 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
65.69246 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
65.69246 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
65.20382 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
64.71216 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
64.71216 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
64.21778 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
63.72096 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
63.72096 5.5 5.5 5.641442 5.641442 6.104539 6.104539 7.034763 7.034763 8.821314 8.821314 12.6762 12.6762 24.71676 24.71676 0
